Country,NUTS_level,NUTS_name,NUTS_code,Mapped_Area_Code,Empire_zone,Industry_Allocation,Industry_Allocation_Country,Population_Key,Population_Key_Country,Hydro_Key,Hydro_Key_Country,Coastal,LNG_Terminal,LNG_Export_Terminal,Comment
DK,3,Sydjylland,DK032,DK03,Denmark,0.381328569,0.381328569,0.123450146,0.123450146,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,Vestjylland,DK041,DK04,Denmark,0,0,0.07261219,0.07261219,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,ùstjylland,DK042,DK04,Denmark,0,0,0.156438585,0.156438585,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,Nordjylland,DK050,DK050,Denmark,0.022631641,0.022631641,0.100230689,0.100230689,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,Byen Kõbenhavn,DK011,DK01,Denmark,0,0,0.137540298,0.137540298,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,Kõbenhavns omegn,DK012,DK01,Denmark,0,0,0.094826363,0.094826363,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,Nordsjëlland,DK013,DK01,Denmark,0,0,0.079833579,0.079833579,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,Bornholm,DK014,DK01,Denmark,0,0,0.006690935,0.006690935,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,ùstsjëlland,DK021,DK02,Denmark,0,0,0.043413454,0.043413454,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,Vest- og Sydsjëlland,DK022,DK02,Denmark,0.59603979,0.59603979,0.099837274,0.099837274,0,0,1,0,0,grouping corresponds to NUTS2
DK,3,Fyn,DK031,DK03,Denmark,0,0,0.085126488,0.085126488,0,0,1,0,0,grouping corresponds to NUTS2
FI,3,EtelÑ-Savo,FI1DA,FI1DC,Finland,0,0,0.02481178,0.02481178,0,0,0,0,0,
FI,3,Pohjois-Savo,FI1DB,FI1DB,Finland,0,0,0.043700631,0.043700631,0,0,0,0,0,
FI,3,Pohjois-Karjala,FI1DC,FI1DC,Finland,0,0,0.028662807,0.028662807,0,0,0,0,0,
FI,3,Kanta-HÑme,FI1C2,FI1B+,Finland,0.000109443,0.000109443,0.030470509,0.030470509,0,0,0,0,0,
FI,3,EtelÑ-Karjala,FI1C5,FI1DC,Finland,0.004163928,0.004163928,0.022529417,0.022529417,0,0,0,0,0,
FI,3,PÑijÑt-HÑme,FI1C6,FI1C-,Finland,0,0,0.035590415,0.035590415,0,0,0,0,0,
FI,3,Kymenlaakso,FI1C7,FI1C-,Finland,0,0,0.029833374,0.029833374,0,0,1,1,0,
FI,3,Keski-Pohjanmaa,FI1D5,FI19+,Finland,0,0,0.012186442,0.012186442,0,0,1,0,0,
FI,3,èland,FI200,FI200,Finland,0,0,0.005456356,0.005456356,0,0,1,0,0,
FI,3,Lappi,FI1D7,FI1D7,Finland,0.003601519,0.003601519,0.031595246,0.031595246,0,0,1,1,0,
FI,3,Kainuu,FI1D8,FI1D8,Finland,0,0,0.012674583,0.012674583,0,0,0,0,0,
FI,3,Pohjois-Pohjanmaa,FI1D9,FI1D9,Finland,0.091711258,0.091711258,0.07486435,0.07486435,0,0,1,0,0,
FI,3,Pohjanmaa,FI19A,FI19+,Finland,0,0,0.032482023,0.032482023,0,0,1,0,0,
FI,3,Pirkanmaa,FI19B,FI19B,Finland,0,0,0.095354935,0.095354935,0,0,0,0,0,
FI,3,Helsinki-Uusimaa,FI1B1,FI1B+,Finland,0.896670553,0.896670553,0.311474181,0.311474181,0,0,1,1,0,
FI,3,Varsinais-Suomi,FI1C1,FI1C1,Finland,0.003743298,0.003743298,0.087269881,0.087269881,0,0,1,0,0,
