from,to,distance_m,duration_s
DK02,DK03,184545.0,7330.0
DK02,DK04,241332.0,10106.0
DK02,DK050,380037.0,15198.0
DK02,FI19+,1562010.0,71758.0
DK02,FI196,1683280.0,77214.0
DK02,FI198,1715723.0,78141.0
DK02,FI19B,1718300.0,79164.0
DK02,FI1B+,1214499.0,66959.0
DK02,FI1C-,1340263.0,72279.0
DK02,FI1C1,1070308.0,61967.0
DK02,FI1D7,2053280.0,81145.0
DK02,FI1D8,2091171.0,82208.0
DK02,FI1D9,1948513.0,77430.0
DK02,FI1DB,1825282.0,82242.0
DK02,FI1DC,1943089.0,88301.0
DK02,FI200,919788.0,41328.0
DK02,NO01+,664421.0,25878.0
DK02,NO020,919809.0,36971.0
DK02,NO060,1252526.0,52016.0
DK02,NO071,1885705.0,75756.0
DK02,NO072,2230160.0,89764.0
DK02,NO085,837551.0,35226.0
DK02,NO092,634887.0,31800.0
DK02,NO094,706485.0,35521.0
DK02,NO0A1,823380.0,40970.0
DK02,NO0A2,1063950.0,46400.0
DK02,NO0A3,1137335.0,46878.0
DK02,SE11+,733931.0,28269.0
DK02,SE21+,487161.0,19958.0
DK02,SE22+,249580.0,11272.0
DK02,SE232,495780.0,19174.0
DK02,SE311,675314.0,28305.0
DK02,SE312,837939.0,35384.0
DK02,SE313,1016873.0,38075.0
DK02,SE321,1211604.0,46079.0
DK02,SE322,1163988.0,50606.0
DK02,SE331,1504905.0,58845.0
DK03,DK02,198468.0,7758.0
DK03,DK04,129538.0,5484.0
DK03,DK050,268243.0,10577.0
DK03,FI19+,1733025.0,77390.0
DK03,FI196,1854294.0,82846.0
DK03,FI198,1886737.0,83773.0
DK03,FI19B,1889314.0,84796.0
DK03,FI1B+,1385513.0,72591.0
DK03,FI1C-,1511278.0,77911.0
DK03,FI1C1,1241323.0,67599.0
DK03,FI1D7,2224295.0,86777.0
DK03,FI1D8,2262186.0,87840.0
DK03,FI1D9,2119528.0,83062.0
DK03,FI1DB,1996297.0,87874.0
DK03,FI1DC,2114104.0,93933.0
DK03,FI200,1090802.0,46960.0
DK03,NO01+,627756.0,30560.0
DK03,NO020,844060.0,39498.0
DK03,NO060,1176778.0,54544.0
DK03,NO071,2056720.0,81388.0
DK03,NO072,2401174.0,95396.0
DK03,NO085,658546.0,33501.0
DK03,NO092,523094.0,27179.0
DK03,NO094,594692.0,30900.0
DK03,NO0A1,711586.0,36349.0
DK03,NO0A2,941597.0,46871.0
DK03,NO0A3,1061587.0,49406.0
DK03,SE11+,904945.0,33901.0
DK03,SE21+,658176.0,25590.0
DK03,SE22+,420595.0,16904.0
DK03,SE232,666795.0,24806.0
DK03,SE311,846329.0,33937.0
DK03,SE312,1008954.0,41016.0
DK03,SE313,1187888.0,43707.0
DK03,SE321,1382619.0,51711.0
DK03,SE322,1202138.0,55388.0
DK03,SE331,1675920.0,64477.0
DK04,DK02,241218.0,10047.0
DK04,DK03,115369.0,4983.0
DK04,DK050,136662.0,6567.0
DK04,FI19+,1775774.0,79679.0
DK04,FI196,1897044.0,85135.0
DK04,FI198,1929487.0,86061.0
DK04,FI19B,1932063.0,87085.0
DK04,FI1B+,1428263.0,74879.0
DK04,FI1C-,1554027.0,80200.0
DK04,FI1C1,1284072.0,69888.0
DK04,FI1D7,2267044.0,89066.0
DK04,FI1D8,2304935.0,90129.0
DK04,FI1D9,2162277.0,85351.0
DK04,FI1DB,2039046.0,90162.0
DK04,FI1DC,2156853.0,96221.0
DK04,FI200,1133552.0,49248.0
DK04,NO01+,496174.0,26550.0
DK04,NO020,712478.0,35488.0
DK04,NO060,1045196.0,50534.0
DK04,NO071,1630388.0,78742.0
DK04,NO072,2443924.0,97685.0
DK04,NO085,526964.0,29491.0
DK04,NO092,391512.0,23169.0
DK04,NO094,463110.0,26890.0
DK04,NO0A1,580004.0,32339.0
DK04,NO0A2,810015.0,42861.0
DK04,NO0A3,930005.0,45396.0
DK04,SE11+,947695.0,36190.0
DK04,SE21+,700925.0,27879.0
DK04,SE22+,463344.0,19193.0
DK04,SE232,371290.0,26405.0
DK04,SE311,687250.0,34714.0
DK04,SE312,795974.0,39817.0
DK04,SE313,1230637.0,45996.0
DK04,SE321,1425368.0,53999.0
DK04,SE322,1070556.0,51378.0
DK04,SE331,1378874.0,65281.0
DK050,DK02,379792.0,15066.0
DK050,DK03,253944.0,10002.0
DK050,DK04,138648.0,6527.0
DK050,FI19+,1352310.0,78455.0
DK050,FI196,1473579.0,83910.0
DK050,FI198,1506022.0,84837.0
DK050,FI19B,1508599.0,85860.0
DK050,FI1B+,1125445.0,75435.0
DK050,FI1C-,1701905.0,93520.0
DK050,FI1C1,981254.0,70443.0
DK050,FI1D7,1843580.0,87842.0
DK050,FI1D8,1881471.0,88905.0
DK050,FI1D9,1738813.0,84127.0
DK050,FI1DB,1615582.0,88938.0
DK050,FI1DC,1733389.0,94997.0
DK050,FI200,830734.0,49804.0
DK050,NO01+,397961.0,22553.0
DK050,NO020,614265.0,31491.0
DK050,NO060,946983.0,46536.0
DK050,NO071,1532175.0,74744.0
DK050,NO072,2056963.0,95367.0
DK050,NO085,428751.0,25494.0
DK050,NO092,293299.0,19172.0
DK050,NO094,364897.0,22892.0
DK050,NO0A1,481791.0,28342.0
DK050,NO0A2,711802.0,38864.0
DK050,NO0A3,831792.0,41398.0
DK050,SE11+,566798.0,34224.0
DK050,SE21+,435693.0,29336.0
DK050,SE22+,500139.0,24314.0
DK050,SE232,279979.0,22613.0
DK050,SE311,589037.0,30716.0
DK050,SE312,697761.0,35820.0
DK050,SE313,833540.0,42789.0
DK050,SE321,1057116.0,51620.0
DK050,SE322,972343.0,47381.0
DK050,SE331,1280661.0,61283.0
FI19+,DK02,1561783.0,71421.0
FI19+,DK03,1719171.0,76684.0
FI19+,DK04,1775957.0,79460.0
FI19+,DK050,1349626.0,78267.0
FI19+,FI196,215372.0,10078.0
FI19+,FI198,160745.0,6894.0
FI19+,FI19B,190636.0,8549.0
FI19+,FI1B+,351729.0,13817.0
FI19+,FI1C-,381565.0,16354.0
FI19+,FI1C1,316132.0,13756.0
FI19+,FI1D7,697954.0,30128.0
FI19+,FI1D8,398399.0,17309.0
FI19+,FI1D9,375831.0,17173.0
FI19+,FI1DB,270304.0,10995.0
FI19+,FI1DC,388111.0,17054.0
FI19+,FI200,511209.0,35758.0
FI19+,NO01+,1095649.0,60091.0
FI19+,NO020,1027815.0,60004.0
FI19+,NO060,763712.0,45575.0
FI19+,NO071,765086.0,45830.0
FI19+,NO072,994405.0,43456.0
FI19+,NO085,1173917.0,65704.0
FI19+,NO092,1424519.0,74225.0
FI19+,NO094,1235283.0,67597.0
FI19+,NO0A1,1498302.0,83147.0
FI19+,NO0A2,1324220.0,73255.0
FI19+,NO0A3,1110241.0,63430.0
FI19+,SE11+,841360.0,45839.0
FI19+,SE21+,1124405.0,56368.0
FI19+,SE22+,1310120.0,62721.0
FI19+,SE232,1087775.0,56701.0
FI19+,SE311,980277.0,53533.0
FI19+,SE312,765026.0,45610.0
FI19+,SE313,605198.0,37555.0
FI19+,SE321,413405.0,29881.0
FI19+,SE322,579981.0,37404.0
FI19+,SE331,387044.0,28842.0
FI196,DK02,1683200.0,76898.0
FI196,DK03,1840588.0,82161.0
FI196,DK04,1897374.0,84937.0
FI196,DK050,1471043.0,83744.0
FI196,FI19+,216569.0,10065.0
FI196,FI198,281082.0,12210.0
FI196,FI19B,139150.0,6462.0
FI196,FI1B+,198768.0,9352.0
FI196,FI1C-,286068.0,12937.0
FI196,FI1C1,134512.0,6716.0
FI196,FI1D7,902800.0,39332.0
FI196,FI1D8,603245.0,26513.0
FI196,FI1D9,580676.0,26377.0
FI196,FI1DB,431080.0,18003.0
FI196,FI1DC,450948.0,19408.0
FI196,FI200,271678.0,30528.0
FI196,NO01+,1217066.0,65568.0
FI196,NO020,1149232.0,65481.0
FI196,NO060,885130.0,51052.0
FI196,NO071,886503.0,51307.0
FI196,NO072,1199251.0,52660.0
FI196,NO085,1295334.0,71181.0
FI196,NO092,1545936.0,79702.0
FI196,NO094,1356701.0,73074.0
FI196,NO0A1,1619719.0,88624.0
FI196,NO0A2,1445637.0,78732.0
FI196,NO0A3,1231658.0,68907.0
FI196,SE11+,962777.0,51316.0
FI196,SE21+,1245822.0,61845.0
FI196,SE22+,1431537.0,68198.0
FI196,SE232,1209192.0,62178.0
FI196,SE311,1101694.0,59010.0
FI196,SE312,886443.0,51087.0
FI196,SE313,726615.0,43032.0
FI196,SE321,534822.0,35358.0
FI196,SE322,701399.0,42881.0
FI196,SE331,508462.0,34319.0
FI198,DK02,1715563.0,77809.0
FI198,DK03,1872951.0,83072.0
FI198,DK04,1929737.0,85847.0
FI198,DK050,1503406.0,84654.0
FI198,FI19+,160812.0,6897.0
FI198,FI196,282034.0,12349.0
FI198,FI19B,160300.0,7911.0
FI198,FI1B+,298372.0,12238.0
FI198,FI1C-,219851.0,9943.0
FI198,FI1C1,329394.0,14237.0
FI198,FI1D7,725428.0,30811.0
FI198,FI1D8,370191.0,16297.0
FI198,FI1D9,383491.0,17411.0
FI198,FI1DB,200891.0,8765.0
FI198,FI1DC,237237.0,11029.0
FI198,FI200,524470.0,36239.0
FI198,NO01+,1249429.0,66478.0
FI198,NO020,1181595.0,66391.0
FI198,NO060,917493.0,51963.0
FI198,NO071,1065534.0,45329.0
FI198,NO072,1021879.0,44139.0
FI198,NO085,1327697.0,72092.0
FI198,NO092,1578299.0,80612.0
FI198,NO094,1389064.0,73984.0
FI198,NO0A1,1652082.0,89534.0
FI198,NO0A2,1478000.0,79643.0
FI198,NO0A3,1264021.0,69817.0
FI198,SE11+,995140.0,52226.0
FI198,SE21+,1278185.0,62756.0
FI198,SE22+,1463900.0,69108.0
FI198,SE232,1241555.0,63089.0
FI198,SE311,1134057.0,59920.0
FI198,SE312,918806.0,51997.0
FI198,SE313,758978.0,43942.0
FI198,SE321,567185.0,36268.0
FI198,SE322,733761.0,43791.0
FI198,SE331,540825.0,35229.0
FI19B,DK02,1718214.0,78822.0
FI19B,DK03,1875602.0,84085.0
FI19B,DK04,1932388.0,86861.0
FI19B,DK050,1506057.0,85668.0
FI19B,FI19+,190667.0,8573.0
FI19B,FI196,138736.0,6437.0
FI19B,FI198,160368.0,7912.0
FI19B,FI1B+,173672.0,6971.0
FI19B,FI1C-,207527.0,10022.0
FI19B,FI1C1,186095.0,8325.0
FI19B,FI1D7,854364.0,37122.0
FI19B,FI1D8,537156.0,23302.0
FI19B,FI1D9,532241.0,24167.0
FI19B,FI1DB,331737.0,14649.0
FI19B,FI1DC,351605.0,16054.0
FI19B,FI200,381172.0,30327.0
FI19B,NO01+,1252080.0,67492.0
FI19B,NO020,1184246.0,67405.0
FI19B,NO060,920144.0,52976.0
FI19B,NO071,1194470.0,51640.0
FI19B,NO072,1150815.0,50450.0
FI19B,NO085,1330348.0,73105.0
FI19B,NO092,1580950.0,81626.0
FI19B,NO094,1391714.0,74998.0
FI19B,NO0A1,1654733.0,90548.0
FI19B,NO0A2,1480651.0,80656.0
FI19B,NO0A3,1266672.0,70831.0
FI19B,SE11+,997791.0,53240.0
FI19B,SE21+,1280836.0,63769.0
FI19B,SE22+,1466551.0,70122.0
FI19B,SE232,1244206.0,64102.0
