from port name,from lat,from lon,from NUTS3 name,to port name,to lat,to lon,To NUTS3 name,Unnamed: 8,Unnamed: 9,distance_km,route
Hammeferfest,70.666972,23.659525,NO073,mosjøen,65.8519,13.186,NO071,,,883.677,"[[23.60089, 70.789663], [23.4, 71.15], [20.921784, 70.740799], [17, 70], [12, 68], [13.8, 67.4], [12, 66]]"
Mosjøen,65.8519,13.186,NO071,kollsnes,60.5542,4.8876,NO0A2,,,744.988,"[[12, 66], [10.7, 65], [9, 64], [7.378809, 63.399559], [6.3, 63], [5.389929, 62.586332], [4.1, 62], [4.114615, 61.736927], [4.160202, 60.91637], [4.657108, 60.854215]]"
kollsnes,60.5542,4.8876,NO0A2,snurrevarden,59.3135,5.3238,NO0A1,,,327.699,"[[4.657108, 60.854215], [5.141479, 60.264159], [5.211006, 60.181289], [5.282851, 60.137468], [5.329202, 60.050807], [5.352378, 59.98711], [5.516925, 59.912836], [5.542418, 59.857021], [5.569516, 59.788912], [5.52673, 59.756901], [5.519242, 59.760286], [4.581717, 59.309328], [4.58339, 59.305424], [4.8, 58.8], [5.329202, 59.100248], [5.34079, 59.246325]]"
snurrevarden,59.3135,5.3238,NO0A1,fredrikstad,59.2131,10.9149,NO083,,,501.255,"[[5.34079, 59.246325], [5.329202, 59.100248], [4.8, 58.8], [5.95, 58], [8.05, 57.95], [9.6, 58.6], [9.802224, 58.69192], [9.94527, 58.756941], [10.009312, 58.786051], [10.049246, 58.804203], [10.498669, 59.008486], [10.499442, 59.008837], [10.701577, 59.03842], [10.831103, 59.057376]]"
fredrikstad,59.2131,10.9149,NO083,lysekil,58.2732,11.4466,SE232,,,111.695,"[[10.831103, 59.057376], [10.701577, 59.03842], [10.703071, 58.980103], [10.733681, 58.975764], [11.116467, 58.242864], [11.287663, 58.288653]]"
lysekil,58.2732,11.4466,SE232,Brunnsviksholme,58.9177,17.9691,SE110,,,999.633,"[[11.287663, 58.288653], [11.116467, 58.242864], [11.4, 57.7], [11.988567, 56.905254], [12.409118, 56.337382], [12.409121, 56.337379], [12.629725, 56.063887], [12.75, 55.9], [12.566721, 55.268229], [12.974851, 55.258099], [13.229812, 55.252805], [13.836081, 55.240216], [14.374661, 55.229033], [15.80658, 55.72711], [16.209967, 55.954553], [17, 56.4], [17.1, 58.5], [18.363647, 58.762503]]"
Brunnsviksholme,58.9177,17.9691,SE110,Pori,61.5976,21.4683,FI196,,,343.77,"[[18.363647, 58.762503], [19.092865, 59.38778], [19.307013, 60.09207], [20.287802, 60.816123], [21.1715, 61.4685]]"
Brunnsviksholme,58.9177,17.9691,SE110,Inkoo,60.0414,24.0071,FI1B1,,,361.793,"[[18.363647, 58.762503], [19.092865, 59.38778], [20.054149, 59.475165], [22.192976, 59.669593], [23.127, 59.7545], [24.011424, 59.701632]]"
Inkoo,60.0414,24.0071,FI1B1,Hamina,60.5618,27.1941,FI1C7,,,231.513,"[[24.011424, 59.701632], [24.7, 59.8], [28, 60.3]]"
mosjøen,65.8519,13.186,NO071,hammeferfest,70.666972,23.659525,NO073,,,883.677,"[[12, 66], [13.8, 67.4], [12, 68], [17, 70], [20.921784, 70.740799], [23.4, 71.15], [23.60089, 70.789663]]"
