Transmission_Capacity_MVA,From_NUTS_ID,To_NUTS_ID,HVDC
560.8,DE803,DK022,0
215.74,DE80L,DE80N,0
656.65,DE80M,DEF03,0
1064.09,DE94C,NL115,0
656.65,DE94C,NO092,0
800.425,DEF05,NO092,0
2248.07,DEF0C,DK032,0
796.02,DK011,DK012,0
748.976,DK012,DK013,0
2274.492,DK012,DK021,0
1964.664,DK013,DK021,0
3647.064,DK013,SE224,0
1741.256,DK021,DK022,0
560.8,DK022,DK031,1
1284.7,DK031,DK032,0
1366.25,DK032,DK041,0
321.175,DK032,DK042,0
407.44,DK032,NL115,0
2487.85,DK041,DK042,0
2232.25,DK041,DK050,0
321.175,DK042,DK050,0
81.55,EE001,FI1B1,0
656.65,EE009,FI1B1,0
1121.6,FI196,FI199,0
843.635,FI196,FI19B,0
2981.4,FI196,FI1C1,0
1121.6,FI196,SE121,1
1121.6,FI198,FI199,0
1121.6,FI198,FI19B,0
560.8,FI198,FI1D9,0
560.8,FI198,FI1DA,0
3086.835,FI199,FI19A,0
1682.4,FI199,FI1D5,0
560.8,FI19A,FI1D5,0
560.8,FI19B,FI1C2,0
560.8,FI1B1,FI1C1,0
1404.435,FI1B1,FI1C2,0
1121.6,FI1B1,FI1C7,0
560.8,FI1C1,FI1C2,0
2243.2,FI1C1,SE121,1
1121.6,FI1C5,FI1C7,0
1121.6,FI1C5,FI1DA,0
1687.27,FI1D5,FI1D9,0
1682.4,FI1D7,FI1D9,0
647.22,FI1D7,NO073,0
3364.8,FI1D7,SE332,0
776.54,FI1D8,FI1D9,0
560.8,FI1D8,FI1DB,0
1965.235,FI1DA,FI1DB,0
369.1,LT023,SE213,0
94.088,NO020,NO060,0
1342.52,NO020,NO084,0
416.144,NO020,NO0A3,0
282.264,NO020,SE311,0
1337.34,NO060,NO071,0
1896.688,NO060,NO0A3,0
1797.42,NO060,SE322,0
1527.588,NO071,NO072,0
647.22,NO071,SE331,0
1823.532,NO071,SE332,0
693.228,NO072,NO073,0
2860.784,NO081,NO084,0
738.2,NO081,NO085,0
1384.384,NO083,NO084,0
599.14,NO083,NO093,0
1797.42,NO083,SE232,0
1797.42,NO083,SE311,0
2124.656,NO084,NO085,0
369.1,NO084,NO093,0
879.332,NO085,NO093,0
1384.384,NO085,NO094,0
2166.52,NO085,NO0A2,0
1755.556,NO092,NO094,0
4983.368,NO092,NO0A1,0
1062.328,NO093,NO094,0
968.24,NO094,NO0A1,0
1845.5,NO0A1,NO0A2,0
599.14,NO0A2,NO0A3,0
656.65,PL636,SE221,0
5239.52,SE110,SE121,0
560.8,SE110,SE122,0
560.8,SE121,SE122,0
431.48,SE121,SE125,0
2477.384,SE121,SE313,0
1121.6,SE122,SE123,0
47.044,SE122,SE124,0
86.42,SE122,SE125,0
1164.81,SE123,SE124,0
1208.02,SE123,SE211,0
1208.02,SE123,SE213,0
305.994,SE124,SE125,0
819.75,SE124,SE232,0
227.552,SE124,SE311,0
1729.444,SE124,SE312,0
1227.5,SE125,SE312,0
1385.42,SE211,SE212,0
86.42,SE211,SE213,0
47.044,SE211,SE231,0
654.888,SE211,SE232,0
1251.23,SE212,SE213,0
1164.81,SE212,SE221,0
1346.044,SE212,SE224,0
94.088,SE212,SE231,0
81.55,SE213,SE214,0
690.43,SE221,SE224,0
1215.688,SE224,SE231,0
4924.822,SE231,SE232,0
1215.688,SE232,SE311,0
1164.81,SE311,SE312,0
3373.088,SE312,SE313,0
560.8,SE312,SE322,0
3588.518,SE313,SE321,0
1121.6,SE313,SE322,0
9683.33,SE321,SE322,0
2596.238,SE321,SE331,0
1337.34,SE322,SE331,0
2371.794,SE331,SE332,0
1763,NO092,DK050,1
709,SE232,DK050,1
