Transmission_Capacity_MVA,Distance,From_NUTS_ID,To_NUTS_ID,To_Name,Connection_Name,Lat,Lon,HVDC,lat_rad,lon_rad,distance
1400,0,NO0A1,Rest,UK-Newcastle,North Sea Link,55.1553,-1.5245,1,0.962641585,-0.026607544,720
700,0,NO092,Rest,NL-Groningen,NorNed,53.4445,6.831,1,0.932782492,0.119223441,580
1400,0,NO092,Rest,DE-Hamburg,NordLink,53.9227,9.3622,1,0.941128657,0.163401215,623
1400,0,DK032,Rest,UK-Spalding,Viking Link,52.8156,-0.0692,1,0.921806116,-0.001207768,765
560.8,0,DK022,Rest,DE-Rostock,Kontek,54.1203,12.2001,1,0.944577427,0.212931914,170
600,0,SE224,Rest,DE-Lubeck,HVDC Baltic,53.9028,10.8061,1,0.940781336,0.188602024,260
600,0,SE221,Rest,PL-S?upsk,HVDC SwePol,54.4752,17.0253,1,0.950771601,0.297147541,254
700,0,SE213,Rest,LT-Klaipeda,HVDC NordBalt,55.7134,21.1427,1,0.972382267,0.369009728,450
350,0,FI1B1,Rest,EE-Tallinn,Estlink 1,59.4432,24.4083,1,1.037479558,0.4260052,105
650,0,FI1B1,Rest,EE-Kohtla-Jarve,Estlink 2,59.3623,27.0473,1,1.036067587,0.472064439,170
2248.07,0,DK032,Rest,DE-Flensburg,Land connection,54.7889,9.4403,0,0.956246699,0.164764317,80
